Code,Title
application/sep+xml,sep+xml
application/session-info,session-info
application/set-payment,set-payment
application/set-payment-initiation,set-payment-initiation
application/set-registration,set-registration
application/set-registration-initiation,set-registration-initiation
application/SGML,SGML
application/sgml-open-catalog,sgml-open-catalog
application/shf+xml,shf+xml
application/sieve,sieve
application/simple-filter+xml,simple-filter+xml
application/simple-message-summary,simple-message-summary
application/simpleSymbolContainer,simpleSymbolContainer
application/sipc,sipc
application/slate,slate
application/smil+xml,smil+xml
application/smpte336m,smpte336m
application/soap+fastinfoset,soap+fastinfoset
application/soap+xml,soap+xml
application/sparql-query,sparql-query
application/sparql-results+xml,sparql-results+xml
application/spirits-event+xml,spirits-event+xml
application/sql,sql
application/srgs,srgs
application/srgs+xml,srgs+xml
application/sru+xml,sru+xml
application/ssml+xml,ssml+xml
application/stix+json,stix+json
application/swid+xml,swid+xml
application/tamp-apex-update,tamp-apex-update
application/tamp-apex-update-confirm,tamp-apex-update-confirm
application/tamp-community-update,tamp-community-update
application/tamp-community-update-confirm,tamp-community-update-confirm
application/tamp-error,tamp-error
application/tamp-sequence-adjust,tamp-sequence-adjust
application/tamp-sequence-adjust-confirm,tamp-sequence-adjust-confirm
application/tamp-status-query,tamp-status-query
application/tamp-status-response,tamp-status-response
application/tamp-update,tamp-update
application/tamp-update-confirm,tamp-update-confirm
application/taxii+json,taxii+json
application/td+json,td+json
application/tei+xml,tei+xml
application/TETRA_ISI,TETRA_ISI
application/thraud+xml,thraud+xml
application/timestamp-query,timestamp-query
application/timestamp-reply,timestamp-reply
application/timestamped-data,timestamped-data
application/tlsrpt+gzip,tlsrpt+gzip
application/tlsrpt+json,tlsrpt+json
application/tnauthlist,tnauthlist
application/trickle-ice-sdpfrag,trickle-ice-sdpfrag
application/trig,trig
application/ttml+xml,ttml+xml
application/tve-trigger,tve-trigger
application/tzif,tzif
application/tzif-leap,tzif-leap
application/ulpfec,ulpfec
application/urc-grpsheet+xml,urc-grpsheet+xml
application/urc-ressheet+xml,urc-ressheet+xml
application/urc-targetdesc+xml,urc-targetdesc+xml
application/urc-uisocketdesc+xml,urc-uisocketdesc+xml
application/vcard+json,vcard+json
application/vcard+xml,vcard+xml
application/vemmi,vemmi
application/vnd.1000minds.decision-model+xml,vnd.1000minds.decision-model+xml
application/vnd.3gpp.5gnas,vnd.3gpp.5gnas
application/vnd.3gpp.access-transfer-events+xml,vnd.3gpp.access-transfer-events+xml
application/vnd.3gpp.bsf+xml,vnd.3gpp.bsf+xml
application/vnd.3gpp.GMOP+xml,vnd.3gpp.GMOP+xml
application/vnd.3gpp.gtpc,vnd.3gpp.gtpc
application/vnd.3gpp.interworking-data,vnd.3gpp.interworking-data
application/vnd.3gpp.lpp,vnd.3gpp.lpp
application/vnd.3gpp.mc-signalling-ear,vnd.3gpp.mc-signalling-ear
application/vnd.3gpp.mcdata-affiliation-command+xml,vnd.3gpp.mcdata-affiliation-command+xml
application/vnd.3gpp.mcdata-info+xml,vnd.3gpp.mcdata-info+xml
application/vnd.3gpp.mcdata-payload,vnd.3gpp.mcdata-payload
application/vnd.3gpp.mcdata-service-config+xml,vnd.3gpp.mcdata-service-config+xml
application/vnd.3gpp.mcdata-signalling,vnd.3gpp.mcdata-signalling
